GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocker-for-takes-maven-plugin Maven Plugin,de.serra.rft,FileWritingResponseClass,70,0,4,0,16,0,5,0,3,0
rocker-for-takes-maven-plugin Maven Plugin,de.serra.rft,DefaultResponseClass.Flag,24,0,0,0,2,0,1,0,1,0
rocker-for-takes-maven-plugin Maven Plugin,de.serra.rft,RockerResponseMojo,194,0,24,0,49,0,15,0,3,0
rocker-for-takes-maven-plugin Maven Plugin,de.serra.rft,DefaultResponseClass,403,18,28,0,72,7,16,2,2,2
